City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Tuatapere,-46.1333,167.6833,48.47,91,40,2.89,NZ,2022-04-02 19:59:26
154,Douentza,14.9951,-2.9517,90.91,7,5,6.64,ML,2022-04-02 19:59:26
155,Yulara,-25.2406,130.9889,57.04,44,0,6.91,AU,2022-04-02 19:56:34
156,Comodoro Rivadavia,-45.8667,-67.5,75.06,33,20,14.97,AR,2022-04-02 19:59:27
157,Sao Filipe,14.8961,-24.4956,71.56,79,12,9.86,CV,2022-04-02 19:59:27
158,Eirunepe,-6.6603,-69.8736,79.77,66,93,2.1,BR,2022-04-02 19:59:28
159,Fallon,39.4735,-118.7774,65.91,24,89,11.81,US,2022-04-02 19:59:28
160,Klaksvik,62.2266,-6.589,43.72,86,100,19.44,FO,2022-04-02 19:59:28
161,Youkounkoun,12.5333,-13.1333,93.02,14,92,1.36,GN,2022-04-02 19:59:28
162,Lazaro Cardenas,17.9583,-102.2,81.03,55,91,11.23,MX,2022-04-02 19:59:29
163,Hirara,24.8,125.2833,65.84,86,100,30.29,JP,2022-04-02 19:59:29
164,Saint-Francois,46.4154,3.9054,33.67,85,75,9.22,FR,2022-04-02 19:59:30
165,Minden,52.2833,8.9167,35.98,55,73,2.3,DE,2022-04-02 19:59:30
166,Harpanahalli,14.8,75.9833,76.8,66,14,9.84,IN,2022-04-02 19:59:30
167,Lasa,46.6166,10.7002,32.36,94,99,7.11,IT,2022-04-02 19:59:31
168,Thompson,55.7435,-97.8558,24.96,46,40,2.3,CA,2022-04-02 19:59:31
169,Belyy Yar,53.6039,91.3903,35.85,93,75,6.71,RU,2022-04-02 19:59:31
170,Enid,36.3956,-97.8784,68.99,33,20,9.22,US,2022-04-02 19:58:31
171,Sabha,27.0377,14.4283,80.58,14,100,10.04,LY,2022-04-02 19:59:32
172,Brae,60.3964,-1.353,40.6,62,99,13.76,GB,2022-04-02 19:59:32
173,Melfi,40.9965,15.6514,39.49,90,43,8.37,IT,2022-04-02 19:59:33
174,Saldanha,-33.0117,17.9442,68.05,72,0,15.23,ZA,2022-04-02 19:59:33
175,Alamos,27.0167,-108.9333,88.43,13,4,7.34,MX,2022-04-02 19:57:53
176,Nikolskoye,59.7035,30.7861,28.8,96,9,3.49,RU,2022-04-02 19:59:33
177,Dawlatabad,36.4141,64.9053,61.93,28,0,6.11,AF,2022-04-02 19:59:34
178,Gradignan,44.7726,-0.6139,43.34,64,75,4.61,FR,2022-04-02 19:59:34
179,Evensk,61.95,159.2333,16.25,80,100,10.29,RU,2022-04-02 19:59:34
180,Sucua,-2.4667,-78.1667,77.74,69,40,11.5,EC,2022-04-02 19:59:35
181,Banda Aceh,5.5577,95.3222,79.25,81,100,3.38,ID,2022-04-02 19:59:35
182,Carnarvon,-24.8667,113.6333,77.09,82,10,11.16,AU,2022-04-02 20:00:36
183,Moron,-34.6534,-58.6198,71.8,50,0,10.07,AR,2022-04-02 20:00:37
184,Kahului,20.8947,-156.47,78.96,84,43,11.99,US,2022-04-02 20:00:37
185,Faanui,-16.4833,-151.75,81.45,77,53,9.01,PF,2022-04-02 20:00:38
186,San Ignacio,17.1561,-89.0714,95.27,36,0,8.72,BZ,2022-04-02 20:00:38
187,Chimoio,-19.1164,33.4833,66.58,99,18,3.47,MZ,2022-04-02 20:00:38
188,Port Lincoln,-34.7333,135.8667,59.52,81,34,7.47,AU,2022-04-02 20:00:39
189,Leningradskiy,69.3833,178.4167,-7.17,97,100,9.89,RU,2022-04-02 20:00:39
190,Longyearbyen,78.2186,15.6401,1.24,71,20,9.22,SJ,2022-04-02 20:00:39
191,Vila,42.0304,-8.1588,41.88,69,0,5.06,PT,2022-04-02 19:59:22
192,Yar-Sale,66.8333,70.8333,-0.47,95,15,8.19,RU,2022-04-02 20:00:40
193,Katsuura,35.1333,140.3,51.98,69,100,11.16,JP,2022-04-02 20:00:40
194,Meulaboh,4.1363,96.1285,77.68,85,96,1.81,ID,2022-04-02 19:58:33
195,Naze,28.3667,129.4833,61.72,71,98,14.74,JP,2022-04-02 19:56:24
196,Berdigestyakh,62.0989,126.6992,19.6,96,100,5.39,RU,2022-04-02 20:00:41
197,Serik,36.9169,31.0989,59.76,60,86,5.57,TR,2022-04-02 20:00:41
198,Salalah,17.0151,54.0924,78.8,53,93,2.82,OM,2022-04-02 20:00:42
199,Taboga,46.2663,13.1092,44.83,79,100,4.94,IT,2022-04-02 20:00:42
200,Mahebourg,-20.4081,57.7,74.25,84,100,18.39,MU,2022-04-02 20:00:42
201,Port Hardy,50.6996,-127.4199,43.61,89,100,16.2,CA,2022-04-02 20:00:24
202,Kovernino,57.1253,43.8142,31.51,96,100,12.12,RU,2022-04-02 20:00:43
203,Toropets,56.4978,31.6353,28.54,85,100,11.3,RU,2022-04-02 20:00:43
204,Muli,2.9167,73.5667,82.69,68,14,2.28,MV,2022-04-02 20:00:43
205,Calvinia,-31.4707,19.776,61.29,57,4,8.77,ZA,2022-04-02 20:00:44
206,Manaskent,42.7275,47.6785,45.77,93,0,4.47,RU,2022-04-02 20:00:44
207,Coihaique,-45.5752,-72.0662,49.06,66,14,11.27,CL,2022-04-02 20:00:44
208,Umtata,-31.5889,28.7844,60.01,99,100,3.87,ZA,2022-04-02 20:00:45
209,Uddevalla,58.3478,11.9424,36.07,75,21,4.56,SE,2022-04-02 20:00:45
210,Banjar,-8.19,114.9675,75.83,89,30,4.25,ID,2022-04-02 20:00:46
211,Verkhnetulomskiy,68.6073,31.7962,17.73,94,100,4.07,RU,2022-04-02 20:00:46
212,Sao Joao Da Barra,-21.6403,-41.0511,79.5,80,17,8.52,BR,2022-04-02 20:00:46
213,Srivardhan,18.0333,73.0167,77.85,74,100,1.72,IN,2022-04-02 20:00:47
214,Kazerun,29.6195,51.6541,68.4,24,9,1.63,IR,2022-04-02 20:00:47
215,Luderitz,-26.6481,15.1594,61.27,79,0,14.38,NA,2022-04-02 20:00:47
216,Erenhot,43.6475,111.9767,42.08,29,4,17.52,CN,2022-04-02 20:00:48
217,Mayya,61.7333,130.2811,18.72,96,100,5.3,RU,2022-04-02 20:00:48
218,La Palma,33.8464,-118.0467,69.24,70,100,4.61,US,2022-04-02 20:00:48
219,Tabou,4.423,-7.3528,79.52,87,100,8.93,CI,2022-04-02 20:00:49
220,Dombarovskiy,50.7587,59.5386,35.4,100,100,8.72,RU,2022-04-02 20:00:49
221,Cayenne,4.9333,-52.3333,80.1,1,75,3.0,GF,2022-04-02 19:56:29
222,Matara,5.9485,80.5353,76.23,89,22,2.73,LK,2022-04-02 20:00:50
223,Novikovo,51.1537,37.8879,52.23,83,61,19.08,RU,2022-04-02 20:00:50
224,Saint-Pierre,-21.3393,55.4781,76.68,86,75,4.61,RE,2022-04-02 20:00:50
225,Huangnihe,43.5583,128.0239,32.85,52,31,4.43,CN,2022-04-02 20:00:51
226,Vesyegonsk,58.664,37.2604,24.62,88,100,9.08,RU,2022-04-02 20:00:52
227,Cabedelo,-6.9811,-34.8339,81.59,75,53,12.82,BR,2022-04-02 20:00:52
228,San Patricio,28.017,-97.5169,89.69,41,0,8.57,US,2022-04-02 20:00:53
229,Provideniya,64.3833,-173.3,14.27,62,0,9.15,RU,2022-04-02 20:00:53
230,Mayumba,-3.432,10.6554,78.01,89,100,7.38,GA,2022-04-02 20:01:55
231,Ahipara,-35.1667,173.1667,64.62,83,100,2.86,NZ,2022-04-02 20:01:55
232,Mangrol,21.1167,70.1167,76.98,82,0,9.08,IN,2022-04-02 19:58:51
233,Maiduguri,11.8464,13.1603,88.68,7,99,9.84,NG,2022-04-02 20:01:56
234,Omboue,-1.5746,9.2618,74.75,92,87,4.65,GA,2022-04-02 20:01:56
235,Roura,4.7263,-52.3274,79.97,94,75,1.14,GF,2022-04-02 20:01:56
236,Paramonga,-10.6667,-77.8333,73.35,73,81,10.58,PE,2022-04-02 20:01:57
237,Cidreira,-30.1811,-50.2056,70.99,73,5,15.37,BR,2022-04-02 19:59:42
238,Tessalit,20.1986,1.0114,90.41,10,0,10.04,ML,2022-04-02 20:01:57
239,East London,-33.0153,27.9116,66.09,86,100,9.95,ZA,2022-04-02 20:01:57
240,Bandraboua,-12.7044,45.1223,82.08,72,11,3.8,YT,2022-04-02 20:01:58
241,Port-Gentil,-0.7193,8.7815,80.2,75,89,5.59,GA,2022-04-02 20:01:58
242,Gat,31.61,34.7642,71.4,40,100,2.24,IL,2022-04-02 20:01:58
243,Abaza,52.655,90.0928,35.8,96,100,3.96,RU,2022-04-02 20:01:59
244,Omsukchan,62.5333,155.8,-0.98,98,100,2.71,RU,2022-04-02 20:01:59
245,Tongliao,43.6125,122.2653,41.32,32,73,11.72,CN,2022-04-02 20:00:26
246,Bathsheba,13.2167,-59.5167,80.19,69,67,19.15,BB,2022-04-02 20:02:00
247,Fuyu,45.1833,124.8167,41.77,37,88,13.87,CN,2022-04-02 20:02:00
248,Sabzevar,36.2126,57.6819,64.81,17,5,7.2,IR,2022-04-02 20:02:00
249,Atasu,48.6814,71.6433,26.38,80,8,4.34,KZ,2022-04-02 20:02:01
250,Fengrun,39.8333,118.1167,45.63,43,1,3.96,CN,2022-04-02 20:02:01
251,Port Keats,-14.25,129.55,77.88,63,18,0.92,AU,2022-04-02 20:02:01
252,Zhanaozen,43.3,52.8,62.78,31,0,17.27,KZ,2022-04-02 20:02:02
253,Kathmandu,27.7167,85.3167,68.22,88,75,2.3,NP,2022-04-02 19:58:01
254,Flinders,-34.5833,150.8552,63.37,77,92,7.0,AU,2022-04-02 20:02:02
255,Micheweni,-4.9667,39.8333,81.81,78,48,7.52,TZ,2022-04-02 20:02:03
256,Reconquista,-29.15,-59.65,71.8,56,71,6.2,AR,2022-04-02 20:02:03
257,Port-Cartier,50.0334,-66.8654,38.75,79,90,19.51,CA,2022-04-02 20:02:04
258,Strezhevoy,60.7333,77.5889,15.67,94,93,5.12,RU,2022-04-02 20:02:04
259,Mitu,1.1983,-70.1733,77.9,92,75,4.05,CO,2022-04-02 20:02:04
260,Manta,-0.95,-80.7333,80.94,77,92,9.75,EC,2022-04-02 20:02:05
261,Ilulissat,69.2167,-51.1,33.82,60,20,3.44,GL,2022-04-02 20:02:05
262,Gobabis,-22.45,18.9667,68.36,68,7,7.47,NA,2022-04-02 20:02:06
263,Saskylakh,71.9167,114.0833,1.38,97,98,9.13,RU,2022-04-02 20:02:06
264,Bangassou,4.7413,22.8184,74.05,83,99,6.33,CF,2022-04-02 20:02:06
265,Porto Velho,-8.7619,-63.9039,75.25,73,100,2.3,BR,2022-04-02 20:00:05
266,Sorland,67.667,12.6934,33.96,56,100,22.95,NO,2022-04-02 19:59:41
267,Kankaanpaa,61.8,22.4167,32.76,95,98,6.58,FI,2022-04-02 20:02:07
268,Airai,-8.9266,125.4092,56.61,71,53,1.7,TL,2022-04-02 19:58:37
269,Ust-Uda,54.1742,103.0304,32.2,91,100,9.01,RU,2022-04-02 20:02:07
270,Kerema,-7.9631,145.7785,76.57,84,100,3.58,PG,2022-04-02 20:02:08
271,Guarapari,-20.6667,-40.4975,82.89,82,21,8.01,BR,2022-04-02 20:02:08
272,Dandong,40.1292,124.3947,39.13,63,0,2.13,CN,2022-04-02 20:02:09
273,Imphal,24.8167,93.95,65.23,81,5,2.17,IN,2022-04-02 20:02:10
274,Hobyo,5.3505,48.5268,81.7,72,47,12.12,SO,2022-04-02 20:02:11
275,Ariquemes,-9.9133,-63.0408,79.79,74,97,1.03,BR,2022-04-02 20:00:19
276,La Paz,-16.5,-68.15,52.25,66,89,3.56,BO,2022-04-02 20:03:12
277,Bandarbeyla,9.4942,50.8122,79.07,80,86,4.29,SO,2022-04-02 20:03:12
278,Ust-Barguzin,53.45,108.9833,34.0,79,100,13.47,RU,2022-04-02 20:03:13
279,Dimitrovgrad,54.2139,49.6184,45.41,91,100,15.12,RU,2022-04-02 20:03:13
280,Buala,-8.145,159.5921,79.56,83,99,7.0,SB,2022-04-02 20:03:13
281,Singaraja,-8.112,115.0882,78.33,81,55,3.4,ID,2022-04-02 20:03:06
282,Wadi Maliz,36.4681,8.5495,45.59,60,7,13.18,TN,2022-04-02 20:03:14
283,Tamandare,-8.7597,-35.1047,80.82,73,17,6.8,BR,2022-04-02 20:03:14
284,Saint-Leu,-21.15,55.2833,76.06,93,100,9.37,RE,2022-04-02 20:03:14
285,Clovis,36.8252,-119.7029,78.04,45,91,1.99,US,2022-04-02 20:00:13
286,Todos Santos,23.45,-110.2167,70.83,60,56,9.73,MX,2022-04-02 20:03:15
287,Sobolevo,54.4299,31.8996,30.2,95,100,17.09,RU,2022-04-02 20:03:15
288,Umm Lajj,25.0213,37.2685,83.8,29,5,5.17,SA,2022-04-02 20:03:16
289,Haapsalu,58.9431,23.5414,32.02,71,0,5.84,EE,2022-04-02 20:03:16
290,Bintulu,3.1667,113.0333,76.57,88,100,2.35,MY,2022-04-02 20:03:16
291,Saint Anthony,45.0205,-93.218,52.93,44,20,23.02,US,2022-04-02 20:03:17
292,Methoni,36.8197,21.7049,55.26,86,81,7.83,GR,2022-04-02 20:03:17
293,Broome,42.2506,-75.833,48.7,50,0,5.01,US,2022-04-02 20:03:17
294,Dillon,34.4166,-79.3712,72.03,39,34,5.53,US,2022-04-02 20:03:18
