City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Manaskent,RU,43.97,clear sky,42.7275,47.6785,Baza Dgu
207,Coihaique,CL,49.95,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
208,Umtata,ZA,60.12,light rain,-31.5889,28.7844,LLZZ Boutique Lodge
209,Uddevalla,SE,36.07,few clouds,58.3478,11.9424,Best Western Hotel Carlia
210,Banjar,ID,75.78,scattered clouds,-8.19,114.9675,The Hamsa Resort
211,Verkhnetulomskiy,RU,14.13,overcast clouds,68.6073,31.7962,Отель Уют
212,Sao Joao Da Barra,BR,82.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
213,Srivardhan,IN,77.2,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
214,Kazerun,IR,68.09,few clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
216,Erenhot,CN,41.05,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
218,La Palma,US,70.9,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
219,Tabou,CI,79.27,light rain,4.423,-7.3528,hotêl doufoulougou
221,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
222,Matara,LK,75.78,few clouds,5.9485,80.5353,Amaloh Boutique Resort
224,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
225,Huangnihe,CN,32.58,few clouds,43.5583,128.0239,Jinxin Bathing Fashion Hotel
226,Vesyegonsk,RU,24.35,overcast clouds,58.664,37.2604,Gostinitsa DELI
227,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
228,San Patricio,US,92.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
230,Mayumba,GA,77.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
231,Ahipara,NZ,67.86,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
232,Mangrol,IN,76.55,clear sky,21.1167,70.1167,Hotel The Royal Honours
233,Maiduguri,NG,87.98,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
